"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de gaz naturel (NAF rév. 2, niveau groupe, poste 06.2)";"Codes"
"idBank";"010767584";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"2024-03";"90.49";"A"
"2024-02";"33.89";"A"
"2024-01";"34.4";"A"
"2023-12";"59.11";"A"
"2023-11";"103.28";"A"
"2023-10";"96.11";"A"
"2023-09";"102.03";"A"
"2023-08";"90.54";"A"
"2023-07";"50.12";"A"
"2023-06";"76.59";"A"
"2023-05";"81.06";"A"
"2023-04";"92.4";"A"
"2023-03";"93.59";"A"
"2023-02";"93.98";"A"
"2023-01";"84.66";"A"
"2022-12";"93.63";"A"
"2022-11";"95.68";"A"
"2022-10";"91.94";"A"
"2022-09";"117.16";"A"
"2022-08";"146.75";"A"
"2022-07";"103.82";"A"
"2022-06";"94.68";"A"
"2022-05";"115.77";"A"
"2022-04";"96.39";"A"
"2022-03";"112.32";"A"
"2022-02";"121.91";"A"
"2022-01";"115.09";"A"
"2021-12";"94.06";"A"
"2021-11";"109.82";"A"
"2021-10";"128.79";"A"
"2021-09";"20.69";"A"
"2021-08";"114.39";"A"
"2021-07";"112.19";"A"
"2021-06";"124.12";"A"
"2021-05";"108.04";"A"
"2021-04";"44.65";"A"
"2021-03";"111.28";"A"
"2021-02";"117.61";"A"
"2021-01";"114.36";"A"
"2020-12";"119.08";"A"
"2020-11";"129.47";"A"
"2020-10";"110.74";"A"
"2020-09";"62.45";"A"
"2020-08";"90.68";"A"
"2020-07";"107.23";"A"
"2020-06";"96.43";"A"
"2020-05";"96.55";"A"
"2020-04";"97.21";"A"
"2020-03";"104.72";"A"
"2020-02";"90.21";"A"
"2020-01";"99.86";"A"
"2019-12";"112.92";"A"
"2019-11";"89.66";"A"
"2019-10";"84.91";"A"
"2019-09";"85.89";"A"
"2019-08";"75.78";"A"
"2019-07";"106.02";"A"
"2019-06";"124.66";"A"
"2019-05";"124.92";"A"
"2019-04";"125.42";"A"
"2019-03";"110.91";"A"
"2019-02";"131.71";"A"
"2019-01";"124.07";"A"
"2018-12";"124.2";"A"
"2018-11";"108.52";"A"
"2018-10";"117.09";"A"
"2018-09";"94.47";"A"
"2018-08";"106.41";"A"
"2018-07";"102.97";"A"
"2018-06";"105.6";"A"
"2018-05";"80.38";"A"
"2018-04";"56.57";"A"
"2018-03";"21.79";"A"
"2018-02";"82.17";"A"
"2018-01";"91.83";"A"
"2017-12";"95.46";"A"
"2017-11";"107.77";"A"
"2017-10";"115.68";"A"
"2017-09";"104.92";"A"
"2017-08";"108.05";"A"
"2017-07";"98.78";"A"
"2017-06";"98.03";"A"
"2017-05";"97.72";"A"
"2017-04";"125.42";"A"
"2017-03";"106.94";"A"
"2017-02";"110.95";"A"
"2017-01";"84.39";"A"
"2016-12";"117.74";"A"
"2016-11";"118.43";"A"
"2016-10";"75.3";"A"
"2016-09";"126.24";"A"
"2016-08";"144.27";"A"
"2016-07";"142.52";"A"
"2016-06";"142.03";"A"
"2016-05";"138.66";"A"
"2016-04";"131.25";"A"
"2016-03";"145.39";"A"
"2016-02";"155.42";"A"
"2016-01";"132.16";"A"
"2015-12";"82.45";"A"
"2015-11";"90.32";"A"
"2015-10";"88.29";"A"
"2015-09";"95.67";"A"
"2015-08";"88.79";"A"
"2015-07";"103.78";"A"
"2015-06";"97.41";"A"
"2015-05";"110.9";"A"
"2015-04";"124.87";"A"
"2015-03";"76.42";"A"
"2015-02";"104.45";"A"
"2015-01";"122.75";"A"
"2014-12";"20.66";"A"
"2014-11";"20.91";"A"
"2014-10";"43.79";"A"
"2014-09";"24.16";"A"
"2014-08";"45.56";"A"
"2014-07";"16.55";"A"
"2014-06";"23.37";"A"
"2014-05";"42.14";"A"
"2014-04";"43.95";"A"
"2014-03";"39.86";"A"
"2014-02";"36.36";"A"
"2014-01";"13.58";"A"
"2013-12";"25.91";"A"
"2013-11";"47.21";"A"
"2013-10";"204.33";"A"
"2013-09";"486.99";"A"
"2013-08";"528.15";"A"
"2013-07";"543.07";"A"
"2013-06";"583.65";"A"
"2013-05";"586.37";"A"
"2013-04";"600.85";"A"
"2013-03";"567.59";"A"
"2013-02";"593.26";"A"
"2013-01";"579.27";"A"
"2012-12";"608.74";"A"
"2012-11";"618.1";"A"
"2012-10";"642.55";"A"
"2012-09";"669.66";"A"
"2012-08";"615.71";"A"
"2012-07";"600.9";"A"
"2012-06";"649.67";"A"
"2012-05";"613.78";"A"
"2012-04";"631.39";"A"
"2012-03";"603.43";"A"
"2012-02";"630.33";"A"
"2012-01";"635.36";"A"
"2011-12";"677.29";"A"
"2011-11";"664.42";"A"
"2011-10";"690.06";"A"
"2011-09";"454.91";"A"
"2011-08";"655.5";"A"
"2011-07";"683.04";"A"
"2011-06";"711.9";"A"
"2011-05";"656.29";"A"
"2011-04";"503.48";"A"
"2011-03";"534.0";"A"
"2011-02";"758.8";"A"
"2011-01";"811.93";"A"
"2010-12";"823.1";"A"
"2010-11";"1023.77";"A"
"2010-10";"745.51";"A"
"2010-09";"815.06";"A"
"2010-08";"828.4";"A"
"2010-07";"849.84";"A"
"2010-06";"725.04";"A"
"2010-05";"809.38";"A"
"2010-04";"720.58";"A"
"2010-03";"892.15";"A"
"2010-02";"843.61";"A"
"2010-01";"843.0";"A"
"2009-12";"799.74";"A"
"2009-11";"859.98";"A"
"2009-10";"911.64";"A"
"2009-09";"912.36";"A"
"2009-08";"887.45";"A"
"2009-07";"937.59";"A"
"2009-06";"922.16";"A"
"2009-05";"940.06";"A"
"2009-04";"951.77";"A"
"2009-03";"981.99";"A"
"2009-02";"996.78";"A"
"2009-01";"976.97";"A"
"2008-12";"1050.31";"A"
"2008-11";"1025.38";"A"
"2008-10";"620.27";"A"
"2008-09";"683.2";"A"
"2008-08";"970.55";"A"
"2008-07";"1003.63";"A"
"2008-06";"1016.12";"A"
"2008-05";"1011.18";"A"
"2008-04";"1029.91";"A"
"2008-03";"1049.98";"A"
"2008-02";"1022.76";"A"
"2008-01";"1038.6";"A"
"2007-12";"1000.36";"A"
"2007-11";"965.63";"A"
"2007-10";"1109.84";"A"
"2007-09";"1078.69";"A"
"2007-08";"1093.78";"A"
"2007-07";"1109.93";"A"
"2007-06";"1134.78";"A"
"2007-05";"1013.37";"A"
"2007-04";"645.37";"A"
"2007-03";"1094.06";"A"
"2007-02";"1080.94";"A"
"2007-01";"1056.63";"A"
"2006-12";"1076.8";"A"
"2006-11";"1115.26";"A"
"2006-10";"1117.32";"A"
"2006-09";"1084.95";"A"
"2006-08";"1119.15";"A"
"2006-07";"997.42";"A"
"2006-06";"1090.79";"A"
"2006-05";"1159.5";"A"
"2006-04";"1219.98";"A"
